,Rank,Name,Name.1,Nation,Points,7182,7179,7149,7185,7164,7137,7140,7134,2018,event,gender,athlete_id
14,15,Sallsabillah,Rajiah,INA,172.00,13. 26.00,11. 31.00,,,,8. 40.00,12. 28.00,6. 47.00,2018,speed,WOMEN,61232
15,16,SONG,YiLing,CHN,156.00,12. 28.00,,,9. 37.00,4. 55.00,21. 10.00,13. 26.00,,2018,speed,WOMEN,60398
16,17,Chudziak,Patrycja,POL,148.00,6. 47.00,,6. 47.00,12. 28.00,13. 26.00,,,,2018,speed,WOMEN,10396
17,18,Kalucka,Aleksandra,POL,137.00,,,4. 55.00,5. 51.00,,,,11. 31.00,2018,speed,WOMEN,13293
18,19,Miroslaw,Aleksandra,POL,100.00,,,,1. 100.00,,,,,2018,speed,WOMEN,9493
19,20,Ivanova,Elizaveta,RUS,99.00,,,,10. 34.00,11. 31.00,,,10. 34.00,2018,speed,WOMEN,12071
20,21,Fleuret,Elma,FRA,96.00,,,24. 7.00,18. 16.00,16. 20.00,18. 15.00,17. 18.00,16. 20.00,2018,speed,WOMEN,12064
21,22,Dalla Brida,Elisabetta,ITA,95.00,,,10. 34.00,19. 14.00,6. 47.00,,,,2018,speed,WOMEN,13203
22,23,Buczek,Klaudia,POL,94.00,24. 7.00,,16. 20.00,,10. 34.00,,14. 24.00,22. 9.00,2018,speed,WOMEN,9238
23,24,Kan,Daria,RUS,85.00,,,14. 24.00,21. 10.00,14. 24.00,20. 12.00,26. 5.00,21. 10.00,2018,speed,WOMEN,11052
24,25,Wellyanti,Santi,INA,78.00,,,,,,13. 26.00,20. 12.00,8. 40.00,2018,speed,WOMEN,7464
25,26,Nurul,Iqamah,INA,74.00,20. 12.00,16. 20.00,,,,22. 8.00,10. 34.00,,2018,speed,WOMEN,12453
26,27,Rojas,Andrea,ECU,70.00,,,9. 37.00,17. 18.00,21. 10.00,,,26. 5.00,2018,speed,WOMEN,9634
27,28,Barashchuk,Ekaterina,RUS,58.00,18. 16.00,14. 24.00,,,,,,17. 18.00,2018,speed,WOMEN,12333
28,29,Kalucka,Natalia,POL,55.00,,,7. 43.00,20. 12.00,,,,,2018,speed,WOMEN,13294
29,29,Marenych,Alla,UKR,55.00,,,,,,10. 34.00,19. 14.00,23. 7.00,2018,speed,WOMEN,11299
30,31,Elmer,Alexandra,AUT,53.00,,,12. 28.00,22. 9.00,18. 16.00,,,,2018,speed,WOMEN,10043
31,32,QIU,HaiMei,CHN,45.00,22. 9.00,17. 18.00,,,,26. 5.00,21. 10.00,28. 3.00,2018,speed,WOMEN,70343
32,33,Viglione,Capucine,FRA,42.00,,,15. 22.00,23. 8.00,20. 12.00,,,,2018,speed,WOMEN,60134
33,34,Niu,Di,CHN,37.00,,,,,,18. 15.00,18. 16.00,25. 6.00,2018,speed,WOMEN,10611
34,35,Kolkotina,Tetiana,UKR,34.00,21. 10.00,15. 22.00,,,29. 2.00,,,,2018,speed,WOMEN,13669
35,36,Porta,Silvia,ITA,33.00,,,17. 18.00,30. 1.00,19. 14.00,,,,2018,speed,WOMEN,12090
36,37,Kelly,Piper,USA,31.00,,,11. 31.00,,,,,,2018,speed,WOMEN,61665
37,38,Ropek,Edyta,POL,26.00,,,,,,17. 18.00,23. 8.00,,2018,speed,WOMEN,3547
38,39,Lach,Nina,AUT,25.00,,,18. 16.00,28. 3.00,25. 6.00,,,,2018,speed,WOMEN,10590
39,40,DENG,LiJuan,CHN,24.00,19. 14.00,,,,,28. 3.00,24. 7.00,,2018,speed,WOMEN,71505
40,41,XIE,GuiZhen,CHN,22.00,23. 8.00,19. 14.00,,,,,,,2018,speed,WOMEN,74753
41,42,Mudji,Mulyani,INA,21.00,25. 6.00,22. 9.00,,,,25. 6.00,,,2018,speed,WOMEN,11862
42,43,Nonaka,Miho,JPN,17.00,,,,26. 5.00,23. 8.00,27. 4.00,,,2018,speed,WOMEN,12039
43,44,Fitriyani,Fitriyani,INA,16.00,,,,,,,22. 9.00,23. 7.00,2018,speed,WOMEN,66115
44,44,Krasovskaya,Elena,RUS,16.00,,,,24. 7.00,22. 9.00,,,,2018,speed,WOMEN,12639
45,44,Kushaeva,Kamilla,RUS,16.00,,,,,,,,18. 16.00,2018,speed,WOMEN,67470
46,47,Mackenzie,Oceania,AUS,15.00,26. 5.00,21. 10.00,,,,,,,2018,speed,WOMEN,11895
47,48,Aksenova,Polina,RUS,14.00,,,,,,,,19. 14.00,2018,speed,WOMEN,58682
48,48,PAN,Xuhua,CHN,14.00,,,,,,22. 8.00,25. 6.00,,2018,speed,WOMEN,8787
49,48,Prokopiuk,Monika,POL,14.00,,,19. 14.00,,,,,,2018,speed,WOMEN,7801
50,51,Ito,Futaba,JPN,12.00,27. 4.00,23. 8.00,,,,,,,2018,speed,WOMEN,60150
51,51,Zanetti,Martina,ITA,12.00,,,23. 8.00,,27. 4.00,,,,2018,speed,WOMEN,12098
52,53,Buhrfeind,Claire,USA,10.00,,,25. 6.00,27. 4.00,,,,,2018,speed,WOMEN,11375
53,53,Stöckler,Laura,AUT,10.00,,,21. 10.00,,,,,,2018,speed,WOMEN,11960
54,55,Lee,Hung Ying,TPE,9.00,,,,,26. 5.00,30. 1.00,28. 3.00,,2018,speed,WOMEN,8122
55,55,Randi,Giulia,ITA,9.00,,,22. 9.00,,,,,,2018,speed,WOMEN,56898
56,57,Noguchi,Akiyo,JPN,8.00,28. 3.00,26. 5.00,,,,,,,2018,speed,WOMEN,6326
57,58,Garnbret,Janja,SLO,7.00,,24. 7.00,,,,,,,2018,speed,WOMEN,11989
58,58,Klingler,Petra,SUI,7.00,,,,,24. 7.00,,,,2018,speed,WOMEN,6367
59,60,Pilz,Jessica,AUT,6.00,29. 2.00,27. 4.00,,,,,,,2018,speed,WOMEN,9970
60,60,Sepulveda,Elizabeth,USA,6.00,,25. 6.00,,,,,,,2018,speed,WOMEN,74680
61,60,Vasi,Francesca,ITA,6.00,,,,25. 6.00,,,,,2018,speed,WOMEN,13202
62,63,Gejo,Stasa,SRB,5.00,,,26. 5.00,,,,,,2018,speed,WOMEN,10338
63,64,Lammer,Laura,AUT,4.00,,,27. 4.00,,,,,,2018,speed,WOMEN,13213
64,64,Marlenova,Assel,KAZ,4.00,,,,29. 2.00,,,,29. 2.00,2018,speed,WOMEN,10547
65,64,Panteleeva,Iuliia,RUS,4.00,,,,,,,27. 4.00,,2018,speed,WOMEN,11060
66,64,Petrova,Kseniia,RUS,4.00,,,,,,,,27. 4.00,2018,speed,WOMEN,67476
67,68,Bestvater,Alma,GER,3.00,,,,,28. 3.00,,,,2018,speed,WOMEN,11149
68,68,Gibert,Fanny,FRA,3.00,,28. 3.00,,,,,,,2018,speed,WOMEN,9989
69,68,Raboutou,Brooke,USA,3.00,,,28. 3.00,,,,,,2018,speed,WOMEN,13954
70,71,JIANG,Rong,CHN,2.00,,,,,,29. 2.00,,,2018,speed,WOMEN,9190
71,71,Kurita,Miu,JPN,2.00,,29. 2.00,,,,,,,2018,speed,WOMEN,61380
72,71,RENQING,LaMu,CHN,2.00,,,,,,,29. 2.00,,2018,speed,WOMEN,9191
73,71,Rudka,Maja,POL,2.00,,,29. 2.00,,,,,,2018,speed,WOMEN,57849
74,75,Condie,Kyra,USA,1.00,,,,,,,30. 1.00,,2018,speed,WOMEN,11374
75,75,Contreras,Alejandra,CHI,1.00,,,30. 1.00,,,,,,2018,speed,WOMEN,67112
76,75,KIM,Jain,KOR,1.00,30. 1.00,,,,,,,,2018,speed,WOMEN,5983
77,75,Krampl,Mia,SLO,1.00,,30. 1.00,,,,,,,2018,speed,WOMEN,13209
78,75,Krizova,Hana,CZE,1.00,,,,,30. 1.00,,,,2018,speed,WOMEN,13368
79,75,Sharova,Svetlana,RUS,1.00,,,,,,,,30. 1.00,2018,speed,WOMEN,66264
